partition,metric,observed,bootstrap_median,ci_95_lower,ci_95_upper
validation,precision_attack,0.9996753345575926,0.9996754925921043,0.9995635003012312,0.999776912920965
validation,recall_attack,0.9822845635442836,0.9822845635442836,0.9814571120947482,0.9830923256370379
validation,f1_attack,0.9909036511105189,0.9909041999567585,0.990472925679303,0.9913194771679464
validation,false_positive_rate,0.009667673716012085,0.009667673716012085,0.006646525679758308,0.012990936555891239
validation,balanced_accuracy,0.9863084449141357,0.986353306739713,0.9845206306117942,0.9879437217810231
validation,mcc,0.7939735825609772,0.7939873909898904,0.7868897047656597,0.8010102229828865
test,precision_attack,0.9995939498528068,0.999594013732475,0.999462261813054,0.9997156322535963
test,recall_attack,0.9816666500513413,0.9816666500513413,0.9808392068508309,0.9824841240566649
test,f1_attack,0.9905491929845739,0.9905491929845739,0.9901267072567725,0.9909649912264382
test,false_positive_rate,0.012084592145015106,0.012084592145015106,0.008459214501510574,0.016012084592145016
test,balanced_accuracy,0.9847910289531632,0.9848124868175465,0.9828506755891666,0.9866201910417053
test,mcc,0.7875178506780638,0.7875278524720961,0.7805572328091407,0.7945095694860163
